1.11975 0.0139721
1.8196 0.0289421
2.42613 0.0439122
2.68274 0.0698603
2.91602 0.10978
3.17263 0.156687
3.40591 0.203593
3.66252 0.257485
3.91913 0.307385
4.29238 0.365269
4.71229 0.411178
5.27216 0.443114
5.94868 0.461078
6.50855 0.468064
7.06843 0.47006
7.69829 0.467066
8.28149 0.462076
8.74806 0.45509
9.2846 0.446108
9.79782 0.434132
10.2877 0.422156
10.8009 0.407186
11.3375 0.389222
11.8274 0.372255
12.4106 0.349301
12.9705 0.323353
13.437 0.300399
13.9269 0.274451
14.3935 0.248503
14.7667 0.225549
